"migration","classification","proof_query_file","object_exists_in_db","action","notes"
"20251125100511_update_trigger_for_trusted_partner","baseline-alias-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply directly; keep alias-mapped baseline strategy","Q1 confirmed DB history has 20251202000001 equivalent version; repo alias migration added."
"20251125100512_add_admin_created_password_set_columns","baseline-alias-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply directly; keep alias-mapped baseline strategy","Q1 confirmed DB history has 20251202000000 equivalent version; repo alias migration added."
"20251125120000_fix_trusted_partner_deletion_function","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; retain current production function definitions","Q2 returned admin_delete_member_data and admin_delete_trusted_partner_data with stable signatures + md5 fingerprints."
"20260207182830_fix_deal_image_upload_rls","missing-required",".audit/alignment/proof_queries_actionable_migrations.sql","yes-but-inconsistent","Create targeted cleanup migration to de-duplicate/fix storage policies and normalize path checks","Q3 shows overlapping policies and suspicious checks using b.name in split/folder logic; current state is inconsistent and risky."
"20260518090000_allow_null_discount_id_on_deal_authorizations","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; column already nullable","Q4 confirms public.deal_authorizations.discount_id is nullable (YES)."
"20260613000000_add_member_terms_acceptance_rpc","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; function exists in DB","Q5 returned accept_member_terms with expected signature/security definer and md5 fingerprint."
"20260613010000_add_member_terms_status_rpc","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; function exists in DB","Q7a2 returned member_terms_accepted_status(p_user_id uuid) as SECURITY DEFINER with function_md5=f2080764743c73c6e5dfaee53ab7b912."
"20260613020000_fix_businesses_rls_recursion","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; treat as baseline-only and keep current policy set","Verified from proof query output: businesses policies are present and do not recurse on businesses membership checks."
"20260613123000_fix_create_user_profile_date_cast","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; current create_user_profile already includes date-cast variables/logic","Q5 returned create_user_profile with v_dob_text/v_dob in function head and md5 fingerprint."
"20260613130000_fix_create_user_profile_preserve_subscription","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; current create_user_profile already includes subscription/coalesce preservation pattern","Q7b confirmed has_subscription_token=true and has_coalesce_subscription_pattern=true with matching function fingerprint."
"20260614093000_add_validate_member_qr_scan_rpc","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; function exists in DB","Q5 returned validate_member_qr_scan with expected signature/security definer and md5 fingerprint."
"20260617090000_add_accept_tp_payment_terms_rpc","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; function exists in DB","Q5 returned accept_tp_payment_terms with expected signature/security definer and md5 fingerprint."
"20260617093000_activate_tp_member_profile_rpc","baseline-only-verified",".audit/alignment/proof_queries_actionable_migrations.sql","yes","Do not apply; function exists in DB","Q5 returned activate_tp_member_profile with expected signature/security definer and md5 fingerprint."
